RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,109,0.249,#43763,#43655
0100→0200,100,200,150,0.592,#43654,#43505
0200→0300,200,300,325,1.334,#43504,#43180
0300→0400,300,400,693,2.918,#43179,#42487
0400→0500,400,500,1310,5.911,#42486,#41177
0500→0600,500,600,2031,10.552,#41176,#39146
0600→0700,600,700,2963,17.323,#39145,#36183
0700→0800,700,800,3758,25.910,#36182,#32425
0800→0900,800,900,4545,36.296,#32424,#27880
0900→1000,900,1000,5555,48.989,#27879,#22325
1000→1100,1000,1100,6016,62.736,#22324,#16309
1100→1200,1100,1200,4584,73.210,#16308,#11725
1200→1300,1200,1300,3373,80.918,#11724,#8352
1300→1400,1300,1400,2387,86.372,#8351,#5965
1400→1500,1400,1500,1763,90.401,#5964,#4202
1500→1600,1500,1600,1349,93.483,#4201,#2853
1600→1700,1600,1700,959,95.674,#2852,#1894
1700→1800,1700,1800,671,97.208,#1893,#1223
1800→1900,1800,1900,399,98.119,#1222,#824
1900→2000,1900,2000,287,98.775,#823,#537
2000→2100,2000,2100,180,99.187,#536,#357
2100→2200,2100,2200,121,99.463,#356,#236
2200→2300,2200,2300,91,99.671,#235,#145
2300→2400,2300,2400,54,99.794,#144,#91
2400→2500,2400,2500,37,99.879,#90,#54
2500→2600,2500,2600,16,99.915,#53,#38
2600→2700,2600,2700,22,99.966,#37,#16
2700→2800,2700,2800,10,99.989,#15,#6
2800→2900,2800,2900,4,99.998,#5,#2
3000→3100,3000,3100,1,100.000,#1,#1
