RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,105,0.240,#43770,#43666
0100→0200,100,200,150,0.583,#43665,#43516
0200→0300,200,300,320,1.314,#43515,#43196
0300→0400,300,400,700,2.913,#43195,#42496
0400→0500,400,500,1319,5.926,#42495,#41177
0500→0600,500,600,2030,10.564,#41176,#39147
0600→0700,600,700,2940,17.281,#39146,#36207
0700→0800,700,800,3786,25.931,#36206,#32421
0800→0900,800,900,4540,36.303,#32420,#27881
0900→1000,900,1000,5557,48.999,#27880,#22324
1000→1100,1000,1100,6005,62.719,#22323,#16319
1100→1200,1100,1200,4594,73.215,#16318,#11725
1200→1300,1200,1300,3384,80.946,#11724,#8341
1300→1400,1300,1400,2369,86.358,#8340,#5972
1400→1500,1400,1500,1759,90.377,#5971,#4213
1500→1600,1500,1600,1362,93.489,#4212,#2851
1600→1700,1600,1700,950,95.659,#2850,#1901
1700→1800,1700,1800,674,97.199,#1900,#1227
1800→1900,1800,1900,399,98.111,#1226,#828
1900→2000,1900,2000,286,98.764,#827,#542
2000→2100,2000,2100,188,99.194,#541,#354
2100→2200,2100,2200,121,99.470,#353,#233
2200→2300,2200,2300,85,99.664,#232,#148
2300→2400,2300,2400,56,99.792,#147,#92
2400→2500,2400,2500,38,99.879,#91,#54
2500→2600,2500,2600,17,99.918,#53,#37
2600→2700,2600,2700,21,99.966,#36,#16
2700→2800,2700,2800,8,99.984,#15,#8
2800→2900,2800,2900,6,99.998,#7,#2
3000→3100,3000,3100,1,100.000,#1,#1
