RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,121,0.261,#46354,#46234
0100→0200,100,200,145,0.574,#46233,#46089
0200→0300,200,300,366,1.363,#46088,#45723
0300→0400,300,400,765,3.014,#45722,#44958
0400→0500,400,500,1333,5.889,#44957,#43625
0500→0600,500,600,2267,10.780,#43624,#41358
0600→0700,600,700,3130,17.532,#41357,#38228
0700→0800,700,800,3974,26.106,#38227,#34254
0800→0900,800,900,4850,36.569,#34253,#29404
0900→1000,900,1000,5851,49.191,#29403,#23553
1000→1100,1000,1100,6361,62.914,#23552,#17192
1100→1200,1100,1200,4842,73.359,#17191,#12350
1200→1300,1200,1300,3549,81.016,#12349,#8801
1300→1400,1300,1400,2531,86.476,#8800,#6270
1400→1500,1400,1500,1963,90.711,#6269,#4307
1500→1600,1500,1600,1416,93.765,#4306,#2891
1600→1700,1600,1700,946,95.806,#2890,#1945
1700→1800,1700,1800,677,97.267,#1944,#1268
1800→1900,1800,1900,458,98.255,#1267,#810
1900→2000,1900,2000,255,98.805,#809,#555
2000→2100,2000,2100,193,99.221,#554,#362
2100→2200,2100,2200,129,99.500,#361,#233
2200→2300,2200,2300,79,99.670,#232,#154
2300→2400,2300,2400,50,99.778,#153,#104
2400→2500,2400,2500,43,99.871,#103,#61
2500→2600,2500,2600,23,99.920,#60,#38
2600→2700,2600,2700,25,99.974,#37,#13
2700→2800,2700,2800,7,99.989,#12,#6
2800→2900,2800,2900,4,99.998,#5,#2
3000→3100,3000,3100,1,100.000,#1,#1
