RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,94,0.218,#43218,#43125
0100→0200,100,200,154,0.574,#43124,#42971
0200→0300,200,300,318,1.310,#42970,#42653
0300→0400,300,400,629,2.765,#42652,#42024
0400→0500,400,500,1235,5.623,#42023,#40789
0500→0600,500,600,2049,10.364,#40788,#38740
0600→0700,600,700,3008,17.324,#38739,#35732
0700→0800,700,800,3804,26.126,#35731,#31928
0800→0900,800,900,4529,36.605,#31927,#27399
0900→1000,900,1000,5501,49.334,#27398,#21898
1000→1100,1000,1100,6019,63.261,#21897,#15879
1100→1200,1100,1200,4501,73.675,#15878,#11378
1200→1300,1200,1300,3256,81.209,#11377,#8122
1300→1400,1300,1400,2373,86.700,#8121,#5749
1400→1500,1400,1500,1764,90.782,#5748,#3985
1500→1600,1500,1600,1306,93.804,#3984,#2679
1600→1700,1600,1700,851,95.773,#2678,#1828
1700→1800,1700,1800,664,97.309,#1827,#1164
1800→1900,1800,1900,383,98.195,#1163,#781
1900→2000,1900,2000,270,98.820,#780,#511
2000→2100,2000,2100,179,99.234,#510,#332
2100→2200,2100,2200,131,99.537,#331,#201
2200→2300,2200,2300,68,99.695,#200,#133
2300→2400,2300,2400,47,99.803,#132,#86
2400→2500,2400,2500,28,99.868,#85,#58
2500→2600,2500,2600,24,99.924,#57,#34
2600→2700,2600,2700,20,99.970,#33,#14
2700→2800,2700,2800,9,99.991,#13,#5
2800→2900,2800,2900,3,99.998,#4,#2
2900→3000,2900,3000,1,100.000,#1,#1
