RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,96,0.221,#43368,#43273
0100→0200,100,200,175,0.625,#43272,#43098
0200→0300,200,300,319,1.360,#43097,#42779
0300→0400,300,400,656,2.873,#42778,#42123
0400→0500,400,500,1303,5.878,#42122,#40820
0500→0600,500,600,2029,10.556,#40819,#38791
0600→0700,600,700,2964,17.391,#38790,#35827
0700→0800,700,800,3741,26.017,#35826,#32086
0800→0900,800,900,4486,36.361,#32085,#27600
0900→1000,900,1000,5456,48.942,#27599,#22144
1000→1100,1000,1100,6006,62.791,#22143,#16138
1100→1200,1100,1200,4494,73.153,#16137,#11644
1200→1300,1200,1300,3351,80.880,#11643,#8293
1300→1400,1300,1400,2385,86.379,#8292,#5908
1400→1500,1400,1500,1725,90.357,#5907,#4183
1500→1600,1500,1600,1360,93.493,#4182,#2823
1600→1700,1600,1700,941,95.663,#2822,#1882
1700→1800,1700,1800,646,97.152,#1881,#1236
1800→1900,1800,1900,427,98.137,#1235,#809
1900→2000,1900,2000,273,98.766,#808,#536
2000→2100,2000,2100,172,99.163,#535,#364
2100→2200,2100,2200,136,99.477,#363,#228
2200→2300,2200,2300,83,99.668,#227,#145
2300→2400,2300,2400,48,99.779,#144,#97
2400→2500,2400,2500,43,99.878,#96,#54
2500→2600,2500,2600,20,99.924,#53,#34
2600→2700,2600,2700,17,99.963,#33,#17
2700→2800,2700,2800,9,99.984,#16,#8
2800→2900,2800,2900,6,99.998,#7,#2
3000→3100,3000,3100,1,100.000,#1,#1
